N_EXPEDIENT,CODI_DISTRICTE,DISTRICTE,CODI_BARRI,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
01-2011-0123,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,AGULLERS,2,22,,,,,,,1,,HUTB-003654,3,2.1809031299999999,41.381038820000001
01-2011-0137,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,1,2,HUTB-001678,3,2.1719852300000002,41.380378749999998
01-2011-0152,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,AGULLERS,2,22,,,,,,,2,,HUTB-003650,3,2.1809031299999999,41.381038820000001
01-2011-0157,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Plaça,OLLES,1,9,B,,,,,,1,2,HUTB-002534,9,2.1822042399999999,41.381839720000002
01-2011-0160,1,CIUTAT VELLA,1,el Raval,Carrer,JOVELLANOS,1,1,,,,,,,PR,2,HUTB-000935,6,2.16680984,41.383174449999999
01-2011-0170,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,2,2,HUTB-001679,3,2.1719852300000002,41.380378749999998
01-2011-0171,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,3,2,HUTB-001681,3,2.1719852300000002,41.380378749999998
01-2011-0172,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,4,2,HUTB-001685,3,2.1719852300000002,41.380378749999998
01-2011-0173,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,5,2,HUTB-001686,3,2.1719852300000002,41.380378749999998
01-2011-0192,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,MERCADERS,1,5,,,,,,,5,,HUTB-013223,4,2.1777333200000002,41.382977529999998
01-2011-0193,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,1,1,HUTB-002459,5,2.1725783999999999,41.376596999999997
01-2011-0194,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,1,2,HUTB-002460,6,2.1725783999999999,41.376596999999997
01-2011-0195,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,2,1,HUTB-002461,5,2.1725783999999999,41.376596999999997
01-2011-0196,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,2,2,HUTB-002462,6,2.1725783999999999,41.376596999999997
01-2011-0197,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,3,1,HUTB-002463,5,2.1725783999999999,41.376596999999997
01-2011-0198,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,3,2,HUTB-002464,6,2.1725783999999999,41.376596999999997
01-2011-0199,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,4,1,HUTB-002465,5,2.1725783999999999,41.376596999999997
01-2011-0200,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,4,2,HUTB-002466,6,2.1725783999999999,41.376596999999997
01-2011-0201,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,5,1,HUTB-002467,5,2.1725783999999999,41.376596999999997
01-2011-0202,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,5,2,HUTB-002468,6,2.1725783999999999,41.376596999999997
01-2011-0254,1,CIUTAT VELLA,3,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,BJ,,HUTB-002228,6,2.1876462299999999,41.376951009999999
01-2011-0255,1,CIUTAT VELLA,3,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,1,,HUTB-002237,6,2.1876462299999999,41.376951009999999
01-2011-0256,1,CIUTAT VELLA,3,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,2,,HUTB-002226,6,2.1876462299999999,41.376951009999999
01-2011-0257,1,CIUTAT VELLA,3,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,3,,HUTB-002227,6,2.1876462299999999,41.376951009999999
01-2011-0409,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,AVINYO,2,58,,,,,,,PR,3B,HUTB-013215,10,2.1781870699999999,41.378340520000002
01-2011-0546,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,1,53,,,,,,,AT,,HUTB-000909,5,2.1636106399999999,41.381626509999997
01-2011-0547,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,1,53,,,,,,,3,,HUTB-000911,8,2.1636106399999999,41.381626509999997
01-2012-0158,1,CIUTAT VELLA,2,el Barri Gòtic,Passatge,RELLOTGE,2,2,,,,,,,EN,1,HUTB-001632,11,2.1760967899999999,41.378219110000003
01-2012-0164,1,CIUTAT VELLA,1,el Raval,Carrer,HOSPITAL,1,133,,,,,,,PR,2,HUTB-000727,12,2.1663785899999999,41.377711589999997
01-2012-0166,1,CIUTAT VELLA,1,el Raval,Carrer,SALVADOR,1,7,B,,,,,,1,3,HUTB-002124,2,2.1635926900000002,41.376740210000001
01-2012-0167,1,CIUTAT VELLA,1,el Raval,Carrer,SALVADOR,1,7,B,,,,,,1,4,HUTB-002125,3,2.1635926900000002,41.376740210000001
01-2012-0185,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,1,1,HUTB-013111,3,2.1733986299999999,41.378806249999997
01-2012-0186,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,1,2,HUTB-013112,4,2.1733986299999999,41.378806249999997
01-2012-0187,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,1,3,HUTB-013113,5,2.1733986299999999,41.378806249999997
01-2012-0188,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,2,1,HUTB-013114,6,2.1733986299999999,41.378806249999997
01-2012-0189,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,2,2,HUTB-013115,4,2.1733986299999999,41.378806249999997
01-2012-0190,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,2,3,HUTB-013116,5,2.1733986299999999,41.378806249999997
01-2012-0191,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,3,1,HUTB-013117,6,2.1733986299999999,41.378806249999997
01-2012-0192,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,3,2,HUTB-014595,4,2.1733986299999999,41.378806249999997
01-2012-0193,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,3,3,HUTB-013119,5,2.1733986299999999,41.378806249999997
01-2012-0203,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,PORTAL NOU,1,35,,,,,,,3,2,HUTB-002786,3,2.1796509400000001,41.38723495
01-2012-0209,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,EN,2,HUTB-003352,5,2.1729352,41.385092129999997
01-2012-0210,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,PR,1,HUTB-003353,2,2.1729352,41.385092129999997
01-2012-0211,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,PR,2,HUTB-003354,5,2.1729352,41.385092129999997
01-2012-0212,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,1,1,HUTB-003348,2,2.1729352,41.385092129999997
01-2012-0213,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,2,1,HUTB-003349,2,2.1729352,41.385092129999997
01-2012-0214,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,2,2,HUTB-003350,2,2.1729352,41.385092129999997
01-2012-0317,1,CIUTAT VELLA,2,el Barri Gòtic,Passeig,COLOM,2,2,,,,,,,4,B,HUTB-003340,4,2.1802920000000001,41.379068459999999
01-2012-0440,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,VIDRE,1,7,,,,,,,1,1,HUTB-001506,9,2.1751333900000001,41.377936470000002
01-2012-0441,1,CIUTAT VELLA,1,el Raval,Carrer,SANT PAU,1,29,,,,,,,2,,HUTB-013139,4,2.1711030600000001,41.377308329999998
01-2012-0442,1,CIUTAT VELLA,1,el Raval,Carrer,SANT PAU,1,29,,,,,,,1,,HUTB-013138,4,2.1711030600000001,41.377308329999998
01-2012-0443,1,CIUTAT VELLA,1,el Raval,Carrer,SANT PAU,1,29,,,,,,,PR,,HUTB-013137,4,2.1711030600000001,41.377308329999998
01-2012-0446,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,VOLTA D'EN COLOMINES,1,3,,,,,,,1,,HUTB-013147,4,2.17804032,41.382721580000002
01-2012-0450,1,CIUTAT VELLA,1,el Raval,Carrer,TIGRE,2,4,,,,,,,2,1,HUTB-001174,6,2.1638609799999999,41.381032249999997
01-2012-0464,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,ESQUIROL,2,4,,,,,,,2,2,HUTB-000139,3,2.17862343,41.382505479999999
01-2012-0465,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,2,6,,,,,,,1,1,HUTB-002445,7,2.1732196199999998,41.377387050000003
01-2012-0468,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FLOR,1,5,,,,,,,2,2,HUTB-000191,7,2.1716634500000001,41.38330431
01-2012-0469,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,CONSOLAT DE MAR,1,15,,,,,,,1,2,HUTB-003501,7,2.1807958300000001,41.380298920000001
01-2012-0486,1,CIUTAT VELLA,2,el Barri Gòtic,Plaça,REIAL,2,8,,,,,,,3,3,HUTB-001628,7,2.1741733000000001,41.378620869999999
01-2012-0492,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,ESPASERIA,1,7,,,,,,,1,,HUTB-012817,2,2.1812374299999999,41.381478319999999
01-2012-0513,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,MONTANYANS,2,6,,8,,,,,4,1,HUTB-002370,3,2.1790219799999999,41.385535349999998
01-2012-0514,1,CIUTAT VELLA,1,el Raval,Plaça,EMILI VENDRELL,1,1,,,,,,,3,1,HUTB-003091,2,2.1657501400000001,41.379398369999997
01-2012-0516,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,31,,,,,,,4,2,HUTB-002481,4,2.17202794,41.376069540000003
01-2012-0522,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,BOT,1,11,,,,,,,3,2,HUTB-004062,3,2.1710419000000001,41.382101939999998
01-2012-0523,1,CIUTAT VELLA,3,la Barceloneta,Carrer,PESCADORS,1,85,,,,,,,3,2,HUTB-002716,3,2.1888717600000001,41.37433223
01-2012-0524,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,TRAFALGAR,2,70,,,,,,,4,C,HUTB-001218,9,2.1777498999999998,41.388716340000002
01-2012-0537,1,CIUTAT VELLA,1,el Raval,Carrer,SANT PAU,1,29,,,,,,,3,,HUTB-013140,4,2.1711030600000001,41.377308329999998
01-2012-0538,1,CIUTAT VELLA,1,el Raval,Carrer,SANT PAU,1,29,,,,,,,4,,HUTB-013141,4,2.1711030600000001,41.377308329999998
01-2012-0541,1,CIUTAT VELLA,2,el Barri Gòtic,Plaça,PORTAL DE LA PAU,2,4,,,,,,,1,2,HUTB-013133,11,2.1763432699999998,41.374974590000001
01-2012-0555,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,AGLA,2,4,,,,,,,1,1,HUTB-002416,7,2.1752977699999998,41.378263410000002
01-2012-0557,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,VOLTA D'EN BUFANALLA,1,3,,,,,,,6,,HUTB-001588,4,2.18161965,41.382195269999997
01-2012-0559,1,CIUTAT VELLA,1,el Raval,Carrer,TALLERS,2,76,,,,,,,EN,2,HUTB-001780,4,2.1639372799999999,41.383327469999998
01-2012-0560,1,CIUTAT VELLA,1,el Raval,Carrer,VALLDONZELLA,1,7,,,,,,,EN,3,HUTB-001434,5,2.1653522000000001,41.382780590000003
01-2012-0567,1,CIUTAT VELLA,3,la Barceloneta,Passeig,JOAN BORBO COMTE BARCELONA,2,50,,,,,,,4,1,HUTB-000837,4,2.1875406599999998,41.375601250000003
01-2012-0568,1,CIUTAT VELLA,3,la Barceloneta,Passeig,JOAN BORBO COMTE BARCELONA,2,50,,,,,,,4,4,HUTB-000838,4,2.1875406599999998,41.375601250000003
01-2012-0573,1,CIUTAT VELLA,1,el Raval,Carrer,UNIO,1,23,,,,,,,PR,1,HUTB-001243,11,2.1718063600000002,41.377135090000003
01-2012-0578,1,CIUTAT VELLA,1,el Raval,Carrer,SALVADOR,1,1,,,,,,,2,2,HUTB-009483,4,2.1633000099999999,41.377087299999999
01-2012-0595,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,ESPOLSA-SACS,2,4,,,,,,,EN,1,HUTB-000135,4,2.1722171700000001,41.384456810000003
01-2012-0598,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,CIRERA,2,2,,,,,,,1,,HUTB-003331,6,2.1808263600000002,41.383301119999999
01-2012-0602,1,CIUTAT VELLA,1,el Raval,Carrer,CARME,1,69,,,,,,,5,1,HUTB-002974,6,2.1666331799999998,41.37885489
01-2012-0603,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,PORTAL NOU,1,57,,,,,,,3,1,HUTB-002787,4,2.1797405400000001,41.387772069999997
01-2012-0628,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,MERCADERS,1,5,,,,,,,2,,HUTB-000071,4,2.1777333200000002,41.382977529999998
01-2012-0629,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,CARDERS,1,23,,,,,,,1,2,HUTB-002957,8,2.1790435100000001,41.384879419999997
01-2012-0636,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,MERCADERS,1,5,,,,,,,3,,HUTB-000072,4,2.1777333200000002,41.382977529999998
01-2012-0637,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,MERCADERS,1,5,,,,,,,EN,,HUTB-000073,2,2.1777333200000002,41.382977529999998
01-2012-0642,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,SALOMO BEN ADRET,2,14,,,,,,,EN,2,HUTB-002194,6,2.1743916200000002,41.381049500000003
01-2012-0648,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,EN,1A,HUTB-002457,4,2.1730396999999999,41.377215110000002
01-2012-0649,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,EN,1B,HUTB-002458,5,2.1730396999999999,41.377215110000002
01-2012-0650,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,1,1A,HUTB-002451,4,2.1730396999999999,41.377215110000002
01-2012-0651,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,1,1B,HUTB-002452,5,2.1730396999999999,41.377215110000002
01-2012-0652,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,2,1B,HUTB-002454,5,2.1730396999999999,41.377215110000002
01-2012-0653,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,2,1A,HUTB-002453,4,2.1730396999999999,41.377215110000002
01-2012-0654,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,3,1A,HUTB-002455,4,2.1730396999999999,41.377215110000002
01-2012-0655,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,3,1B,HUTB-002456,5,2.1730396999999999,41.377215110000002
01-2012-0666,1,CIUTAT VELLA,1,el Raval,Carrer,RAMBLA,1,73,,,,,,,2,2,HUTB-000951,14,2.1719543699999999,41.379262249999996
01-2012-0669,1,CIUTAT VELLA,2,el Barri Gòtic,Passatge,DORMITORI DE SANT FRANCESC,2,2,,,,,,,2,1,HUTB-003079,8,2.17754548,41.375878800000002
01-2012-0670,1,CIUTAT VELLA,2,el Barri Gòtic,Passatge,DORMITORI DE SANT FRANCESC,2,2,,,,,,,2,2,HUTB-003080,8,2.17754548,41.375878800000002
01-2012-0671,1,CIUTAT VELLA,2,el Barri Gòtic,Passatge,DORMITORI DE SANT FRANCESC,2,2,,,,,,,3,1,HUTB-003081,8,2.17754548,41.375878800000002
01-2012-0672,1,CIUTAT VELLA,2,el Barri Gòtic,Passatge,DORMITORI DE SANT FRANCESC,2,2,,,,,,,3,2,HUTB-003082,8,2.17754548,41.375878800000002
01-2012-0673,1,CIUTAT VELLA,2,el Barri Gòtic,Passatge,DORMITORI DE SANT FRANCESC,2,2,,,,,,,4,1,HUTB-003083,8,2.17754548,41.375878800000002
01-2012-0674,1,CIUTAT VELLA,2,el Barri Gòtic,Passatge,DORMITORI DE SANT FRANCESC,2,2,,,,,,,4,2,HUTB-003084,8,2.17754548,41.375878800000002
01-2012-0675,1,CIUTAT VELLA,2,el Barri Gòtic,Plaça,CATALUNYA,1,21,,,,,,,7,2,HUTB-003294,6,2.16961586,41.384066900000001
01-2012-0676,1,CIUTAT VELLA,1,el Raval,Carrer,TALLERS,1,1,,,,,,,PR,,HUTB-001775,12,2.16904378,41.382821319999998
01-2012-0684,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,DURAN I BAS,1,7,,,,,,,1,1,,,2.1731203099999998,41.383716939999999
01-2012-0685,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,DURAN I BAS,1,7,,,,,,,1,2,HUTB-075263,,2.1731203099999998,41.383716939999999
01-2012-0686,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,DURAN I BAS,1,7,,,,,,,2,1,HUTB-075262,,2.1731203099999998,41.383716939999999
01-2012-0687,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,DURAN I BAS,1,7,,,,,,,2,2,HUTB-075261,,2.1731203099999998,41.383716939999999
01-2012-0688,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,DURAN I BAS,1,7,,,,,,,3,1,HUTB-075260,,2.1731203099999998,41.383716939999999
01-2012-0689,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,DURAN I BAS,1,7,,,,,,,3,2,HUTB-075256,,2.1731203099999998,41.383716939999999
01-2012-0690,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,DURAN I BAS,1,7,,,,,,,4,1,HUTB-075254,,2.1731203099999998,41.383716939999999
01-2012-0691,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,DURAN I BAS,1,7,,,,,,,4,2,HUTB-075252,,2.1731203099999998,41.383716939999999
01-2012-0705,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,CALDERS,2,4,,,,,,,5,,HUTB-002906,5,2.1820037000000001,41.382720499999998
01-2013-0010,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,VIDRE,1,7,,,,,,,1,4,HUTB-001507,8,2.1751333900000001,41.377936470000002
01-2013-0011,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,VIDRE,1,7,,,,,,,3,4,HUTB-001508,7,2.1751333900000001,41.377936470000002
01-2013-0018,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,PALLA,1,13,,17,,,,,1,5,HUTB-002565,6,2.1733155900000001,41.381427860000002
01-2013-0027,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,OBRADORS,1,13,,,,,,,1,1,HUTB-002524,4,2.1762202099999999,41.377782940000003
01-2013-0028,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,POU DE LA FIGUERA,2,16,,,,,,,3,,HUTB-002791,4,2.1789920399999998,41.385855050000004
01-2013-0029,1,CIUTAT VELLA,1,el Raval,Carrer,CARRETES,1,1,,,,,,,2,1,HUTB-002977,3,2.1647496099999999,41.376628889999999
01-2013-0051,1,CIUTAT VELLA,3,la Barceloneta,Carrer,GRAU I TORRAS,1,17,,,,,,,BJ,,HUTB-000681,2,2.1892501100000001,41.377653279999997
01-2013-0052,1,CIUTAT VELLA,3,la Barceloneta,Carrer,GRAU I TORRAS,1,17,,,,,,,1,,HUTB-000682,2,2.1892501100000001,41.377653279999997
01-2013-0053,1,CIUTAT VELLA,3,la Barceloneta,Carrer,GRAU I TORRAS,1,17,,,,,,,2,,HUTB-000683,2,2.1892501100000001,41.377653279999997
01-2013-0054,1,CIUTAT VELLA,3,la Barceloneta,Carrer,GRAU I TORRAS,1,17,,,,,,,3,,HUTB-000684,2,2.1892501100000001,41.377653279999997
01-2013-0055,1,CIUTAT VELLA,3,la Barceloneta,Carrer,GRAU I TORRAS,1,17,,,,,,,4,,HUTB-000685,2,2.1892501100000001,41.377653279999997
01-2013-0056,1,CIUTAT VELLA,3,la Barceloneta,Carrer,GRAU I TORRAS,1,17,,,,,,,5,,HUTB-000686,2,2.1892501100000001,41.377653279999997
01-2013-0064,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,FLASSADERS,1,31,,,,,,,1,1,HUTB-000183,6,2.18123281,41.383434250000001
01-2013-0071,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,DAGUERIA,1,3,,,,,,,EN,,HUTB-003022,3,2.1768099200000002,41.38155587
01-2013-0072,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,DAGUERIA,1,3,,,,,,,PR,,HUTB-003023,3,2.1768099200000002,41.38155587
01-2013-0073,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,DAGUERIA,1,3,,,,,,,2,,HUTB-003024,3,2.1768099200000002,41.38155587
01-2013-0074,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,DAGUERIA,1,3,,,,,,,1,,HUTB-003025,3,2.1768099200000002,41.38155587
01-2013-0082,1,CIUTAT VELLA,2,el Barri Gòtic,Passatge,RELLOTGE,2,2,,,,,,,2,1,HUTB-001631,17,2.1760967899999999,41.378219110000003
01-2013-0104,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,RAURIC,2,6,,,,,,,1,,HUTB-001596,14,2.17370383,41.379511129999997
01-2013-0105,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,VIDRE,1,7,,,,,,,PR,1,HUTB-001509,9,2.1751333900000001,41.377936470000002
01-2013-0106,1,CIUTAT VELLA,2,el Barri Gòtic,Plaça,REIAL,1,3,,,,,,,2,1,HUTB-001623,8,2.17360497,41.37831061
01-2013-0107,1,CIUTAT VELLA,2,el Barri Gòtic,Plaça,REIAL,1,3,,,,,,,2,2,HUTB-001624,7,2.17360497,41.37831061
01-2013-0108,1,CIUTAT VELLA,2,el Barri Gòtic,Plaça,REIAL,1,3,,,,,,,2,3,HUTB-001625,6,2.17360497,41.37831061
01-2013-0109,1,CIUTAT VELLA,2,el Barri Gòtic,Plaça,REIAL,1,3,,,,,,,3,1,HUTB-001626,11,2.17360497,41.37831061
01-2013-0117,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,NOU DE SANT FRANCESC,1,7,,,,,,,3,2,HUTB-002509,8,2.1759232399999999,41.377400680000001
01-2013-0130,1,CIUTAT VELLA,1,el Raval,Carrer,AURORA,1,25,,,,,,,2,3,HUTB-003876,4,2.1660576699999998,41.376142100000003
01-2013-0131,1,CIUTAT VELLA,1,el Raval,Carrer,AURORA,1,11,B,,,,,,2,1,HUTB-013577,6,2.1669885400000002,41.376798819999998
01-2013-0132,1,CIUTAT VELLA,1,el Raval,Carrer,AURORA,1,11,,,,,,,1,1,HUTB-013579,9,2.1671335200000001,41.376904590000002
01-2013-0135,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,2,6,,,,,,,1,2,HUTB-002446,3,2.1732196199999998,41.377387050000003
01-2013-0137,1,CIUTAT VELLA,2,el Barri Gòtic,Passeig,COLOM,1,5,,,,,,,1,2,HUTB-003346,9,2.18011211,41.378853509999999
01-2013-0147,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,EN,1,HUTB-000905,7,2.16518575,41.380286640000001
01-2013-0148,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,EN,2,HUTB-000906,6,2.16518575,41.380286640000001
01-2013-0149,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,2,1,HUTB-000899,7,2.16518575,41.380286640000001
01-2013-0150,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,2,2,HUTB-000900,6,2.16518575,41.380286640000001
01-2013-0151,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,3,1,HUTB-000901,7,2.16518575,41.380286640000001
01-2013-0152,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,3,2,HUTB-000902,6,2.16518575,41.380286640000001
01-2013-0153,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,4,1,HUTB-000903,7,2.16518575,41.380286640000001
01-2013-0154,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,4,2,HUTB-000904,6,2.16518575,41.380286640000001
01-2013-0160,1,CIUTAT VELLA,1,el Raval,Carrer,RAMBLA,1,15,,,,,,,2,2,HUTB-000941,6,2.1745956899999999,41.375990600000002
01-2013-0184,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Via,LAIETANA,2,54,,,,,,,AT,1,HUTB-000986,7,2.1735695599999998,41.385422200000001
01-2013-0208,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,BANYS NOUS,2,6,,,,,,,2,,HUTB-004008,12,2.1741433400000001,41.380259580000001
01-2013-0213,1,CIUTAT VELLA,1,el Raval,Carrer,GUARDIA,2,8,,,,,,,EN,1,HUTB-000694,3,2.1726588900000001,41.37606486
01-2013-0214,1,CIUTAT VELLA,1,el Raval,Carrer,GUARDIA,2,8,,,,,,,3,2,HUTB-000692,5,2.1726588900000001,41.37606486
01-2013-0215,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,CORDERS,1,1,,,,,,,4,,HUTB-003507,2,2.1782959700000002,41.383455830000003
01-2013-0216,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,CORDERS,1,1,,,,,,,3,,HUTB-003506,2,2.1782959700000002,41.383455830000003
01-2013-0217,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,CORDERS,1,1,,,,,,,2,,HUTB-003505,2,2.1782959700000002,41.383455830000003
